date,day_index,new_blocks_total,new_blocks_atom,new_blocks_photon,new_blocks_spin,cumulative_blocks,daily_workloads,cumulative_workloads,workloads_new_blocks,workloads_older_blocks,perc_new_workloads,perc_old_workloads,cumulative_workloads_new,cumulative_workloads_old,acquisition_cost,lease_fee_cost,workload_trigger_cost,workload_execution_cost,total_daily_cost,cost_per_workload
2023-02-04,35,6940,2305,2344,2291,208197,47009460,1011325160,26685816,20323644,0.5676690606528983,0.43233093934710165,577597775,433727385,1388.0,272337.6,470094.60000000003,4074153.2,4817973.4,0.10248944361411512
2023-02-05,36,9159,3022,3036,3101,217356,3635693,1014960853,2061470,1574223,0.5670088206017395,0.43299117939826054,579659245,435301608,1831.8000000000002,356649.6,36356.93,315093.39333333337,709931.7233333334,0.19526723607668012
2023-02-06,37,3137,1056,1054,1027,220493,49669000,1064629853,28360652,21308348,0.5709930137510318,0.42900698624896816,608019897,456609956,627.4000000000001,123835.2,496690.0,4304646.666666667,4925799.266666667,0.09917250733187032
2023-02-07,38,2794,934,956,904,223287,15630172,1080260025,8065473,7564699,0.5160194654287873,0.48398053457121265,616085370,464174655,558.8000000000001,110342.4,156301.72,1354614.9066666667,1621817.8266666667,0.10376199485627328
2023-02-08,39,3574,1183,1229,1162,226861,37804073,1118064098,21637022,16167051,0.5723463183451158,0.4276536816548841,637722392,480341706,714.8000000000001,140575.2,378040.73,3276352.9933333336,3795683.7233333336,0.10040409464168937
2023-02-09,40,8959,2872,3145,2942,235820,34803414,1152867512,18726258,16077156,0.5380580767162669,0.461941923283733,656448650,496418862,1791.8000000000002,348247.2,348034.14,3016295.88,3714369.02,0.10672427193493145
2023-02-10,41,7016,2384,2340,2292,242836,35916497,1188784009,20542401,15374096,0.5719489013641837,0.4280510986358163,676991051,511792958,1403.2,277891.2,359164.97000000003,3112763.0733333332,3751222.4433333334,0.10444288159096733
2023-02-11,42,3207,1097,1048,1062,246043,33023976,1221807985,18627809,14396167,0.5640692386646599,0.43593076133534014,695618860,526189125,641.4000000000001,126907.2,330239.76,2862077.92,3319866.28,0.10052896961892172
2023-02-12,43,5297,1757,1762,1778,251340,14437519,1236245504,7596327,6841192,0.5261518270556043,0.4738481729443958,703215187,533030317,1059.4,207004.8,144375.19,1251251.6466666667,1603691.0366666666,0.11107802086124816
2023-02-13,44,7234,2411,2386,2437,258574,19260650,1255506154,9865192,9395458,0.5121941367503173,0.48780586324968267,713080379,542425775,1446.8000000000002,282883.2,192606.5,1669256.3333333335,2146192.8333333335,0.11142888912541028
2023-02-14,45,5118,1662,1730,1726,263692,35195172,1290701326,17973357,17221815,0.5106767769170157,0.4893232230829842,731053736,559647590,1023.6,198513.6,351951.72000000003,3050248.24,3601737.16,0.10233611473755548
2023-02-15,46,1976,689,641,646,265668,28368578,1319069904,14463299,13905279,0.509835177498146,0.490164822501854,745517035,573552869,395.20000000000005,78885.6,283685.78,2458610.0933333333,2821576.6733333333,0.09946133617741902
2023-02-16,47,4650,1533,1550,1567,270318,2922382,1321992286,1560170,1362212,0.5338692888198736,0.46613071118012633,747077205,574915081,930.0,181219.2,29223.82,253273.1066666667,464646.1266666667,0.15899568457055469
2023-02-17,48,2144,712,720,712,272462,27138119,1349130405,15535789,11602330,0.5724711060482858,0.4275288939517142,762612994,586517411,428.8,84019.2,271381.19,2351970.3133333335,2707799.5033333334,0.09977845197499995
2023-02-18,49,8742,2968,2905,2869,281204,23977814,1373108219,12326172,11651642,0.5140657109109279,0.4859342890890721,774939166,598169053,1748.4,345818.4,239778.14,2078077.2133333334,2665422.1533333333,0.11116201640955815
2023-02-19,50,1760,588,604,568,282964,49012176,1422120395,28236522,20775654,0.5761123929694532,0.42388760703054684,803175688,618944707,352.0,69532.8,490121.76,4247721.92,4807728.48,0.09809253276165499
2023-02-20,51,4695,1587,1466,1642,287659,21199527,1443319922,11100012,10099515,0.5235971538421589,0.4764028461578412,814275700,629044222,939.0,182803.2,211995.27000000002,1837292.34,2233029.81,0.10533394495075292
2023-02-21,52,2352,833,764,755,290011,39434202,1482754124,20451673,18982529,0.5186277891460819,0.4813722108539181,834727373,648026751,470.40000000000003,94728.0,394342.02,3417630.8400000003,3907171.2600000002,0.09908077409554275
2023-02-22,53,8311,2700,2761,2850,298322,23799579,1506553703,12150809,11648770,0.5105472243857759,0.4894527756142241,846878182,659675521,1662.2,321156.0,237995.79,2062630.1800000002,2623444.17,0.11023069651778293
2023-02-23,54,1453,503,456,494,299775,38946968,1545500671,21924107,17022861,0.5629220482580313,0.43707795174196873,868802289,676698382,290.6,57374.4,389469.68,3375403.8933333335,3822538.5733333337,0.09814726972670462
2023-02-24,55,1661,580,524,557,301436,1543969,1547044640,859750,684219,0.5568440817140758,0.44315591828592416,869662039,677382601,332.20000000000005,65971.2,15439.69,133810.64666666667,215553.73666666666,0.13961014545412936
2023-02-25,56,3193,1030,1051,1112,304629,40148048,1587192688,21316595,18831453,0.530949723881968,0.46905027611803196,890978634,696214054,638.6,122671.2,401480.48,3479497.4933333336,4004287.7733333334,0.09973804388530505
2023-02-26,57,7261,2388,2496,2377,311890,39082926,1626275614,20398987,18683939,0.5219411412543677,0.4780588587456323,911377621,714897993,1452.2,284611.2,390829.26,3387186.92,4064079.58,0.10398606235367332
2023-02-27,58,1344,455,472,417,313234,40587305,1666862919,22960983,17626322,0.5657183446893062,0.43428165531069385,934338604,732524315,268.8,53755.2,405873.05,3517566.4333333336,3977463.4833333334,0.09799772326182617
2023-02-28,59,4679,1616,1506,1557,317913,30240068,1697102987,17817051,12423017,0.5891868695533357,0.41081313044666434,952155655,744947332,935.8000000000001,185515.2,302400.68,2620805.8933333335,3109657.5733333337,0.10283236047396896
2023-03-01,60,9039,3010,2953,3076,326952,29193215,1726296202,15728026,13465189,0.5387562144148906,0.4612437855851094,967883681,758412521,1807.8000000000002,352557.6,291932.15,2530078.6333333333,3176376.1833333336,0.10880528860330503
2023-03-02,61,6820,2291,2275,2254,333772,7357661,1733653863,4228769,3128892,0.5747436583446832,0.42525634165531684,972112450,761541413,1364.0,268490.4,73576.61,637663.9533333334,981094.9633333334,0.13334332246801442
2023-03-03,62,4683,1581,1543,1559,338455,27019158,1760673021,13728055,13291103,0.5080859662614209,0.4919140337385791,985840505,774832516,936.6,184346.4,270191.58,2341660.36,2797134.94,0.10352413424578219
2023-03-04,63,2828,932,949,947,341283,49918929,1810591950,25898411,24020518,0.5188094279827198,0.48119057201728027,1011738916,798853034,565.6,110359.2,499189.29000000004,4326307.18,4936421.27,0.09888876562235539
2023-03-05,64,2341,756,813,772,343624,36425523,1847017473,19278598,17146925,0.5292607054674273,0.4707392945325727,1031017514,815999959,468.20000000000005,91111.2,364255.23,3156878.66,3612713.29,0.09918082137077346
2023-03-06,65,6575,2190,2142,2243,350199,40641022,1887658495,24252170,16388852,0.5967411449446326,0.40325885505536746,1055269684,832388811,1315.0,256324.8,406410.22000000003,3522221.9066666667,4186271.9266666668,0.1030060692535406
2023-03-07,66,8091,2709,2729,2653,358290,8158848,1895817343,4662865,3495983,0.5715102181092233,0.42848978189077674,1059932549,835884794,1618.2,318760.8,81588.48,707100.16,1109067.6400000001,0.13593434269151725
2023-03-08,67,8812,2918,2859,3035,367102,40016213,1935833556,20245594,19770619,0.5059347819844922,0.49406521801550785,1080178143,855655413,1762.4,342156.0,400162.13,3468071.7933333335,4212152.323333333,0.10526114311050207
2023-03-09,68,1222,441,396,385,368324,11432357,1947265913,6632620,4799737,0.5801620785635018,0.4198379214364982,1086810763,860455150,244.4,49704.0,114323.57,990804.2733333333,1155076.2433333334,0.1010357044775048
2023-03-10,69,6770,2220,2282,2268,375094,14896404,1962162317,8636022,6260382,0.5797387074088485,0.4202612925911515,1095446785,866715532,1354.0,263764.8,148964.04,1291021.68,1705104.52,0.11446417001042668
2023-03-11,70,3643,1233,1215,1195,378737,36089727,1998252044,18341244,17748483,0.5082123231356114,0.49178767686438857,1113788029,884464015,728.6,143988.0,360897.27,3127776.3400000003,3633390.2100000004,0.1006765778527502
2023-03-12,71,1983,648,642,693,380720,22717043,2020969087,12570904,10146139,0.5533688517471222,0.4466311482528778,1126358933,894610154,396.6,76420.8,227170.43,1968810.3933333333,2272798.223333333,0.10004815430130291
2023-03-13,72,9539,3201,3197,3141,390259,13260504,2034229591,7513852,5746652,0.5666339680603392,0.43336603193966083,1133872785,900356806,1907.8000000000002,375717.6,132605.04,1149243.68,1659474.1199999999,0.125144121218922
2023-03-14,73,3820,1313,1263,1244,394079,4337743,2038567334,2308616,2029127,0.5322159473256023,0.4677840526743977,1136181401,902385933,764.0,151946.4,43377.43,375937.7266666667,572025.5566666666,0.1318717030185206
2023-03-15,74,4600,1540,1520,1540,398679,26889525,2065456859,14381169,12508356,0.5348242112867371,0.46517578871326287,1150562570,914894289,920.0,180384.0,268895.25,2330425.5,2780624.75,0.10340921790176658
2023-03-16,75,1748,558,591,599,400427,14360984,2079817843,8166692,6194292,0.5686721745529415,0.4313278254470585,1158729262,921088581,349.6,67202.4,143609.84,1244618.6133333333,1455780.4533333334,0.10137052261414213
2023-03-17,76,7993,2684,2674,2635,408420,27787342,2107605185,14340219,13447123,0.5160701948390746,0.48392980516092543,1173069481,934535704,1598.6000000000001,314808.0,277873.42,2408236.3066666666,3002516.3266666667,0.10805338368335722
2023-03-18,77,1944,660,637,647,410364,24925547,2132530732,13061398,11864149,0.5240165040309848,0.47598349596901524,1186130879,946399853,388.8,76663.2,249255.47,2160214.0733333332,2486521.543333333,0.0997579528879881
2023-03-19,78,9673,3165,3275,3233,420037,26713030,2159243762,15639162,11073868,0.5854506957840425,0.41454930421595754,1201770041,957473721,1934.6000000000001,376816.8,267130.3,2315129.2666666666,2961010.966666667,0.1108451930262747
2023-03-20,79,2633,917,841,875,422670,42181238,2201425000,24138769,18042469,0.5722631706542136,0.4277368293457864,1225908810,975516190,526.6,104700.0,421812.38,3655707.2933333335,4182746.2733333334,0.09916129709927748
2023-03-21,80,9304,3155,3015,3134,431974,11291989,2212716989,5649885,5642104,0.5003445362902851,0.4996554637097149,1231558695,981158294,1860.8000000000002,365786.4,112919.89,978639.0466666667,1459206.1366666667,0.12922489887890137
2023-03-22,81,7507,2502,2508,2497,439481,23680460,2236397449,13962805,9717655,0.5896340273795357,0.4103659726204643,1245521500,990875949,1501.4,294403.2,236804.6,2052306.5333333334,2585015.7333333334,0.10916239521248039
2023-03-23,82,8484,2823,2755,2906,447965,21816223,2258213672,12448822,9367401,0.5706222383223714,0.4293777616776286,1257970322,1000243350,1696.8000000000002,330333.6,218162.23,1890739.3266666667,2440931.9566666665,0.11188609305408487
2023-03-24,83,4609,1557,1537,1515,452574,17618157,2275831829,9071822,8546335,0.5149132227621765,0.48508677723782345,1267042144,1008789685,921.8000000000001,181980.0,176181.57,1526906.94,1885990.31,0.10704810440728846
2023-03-25,84,3946,1298,1306,1342,456520,38801804,2314633633,21437631,17364173,0.5524905749227536,0.4475094250772464,1288479775,1026153858,789.2,153355.2,388018.04,3362823.0133333337,3904985.4533333336,0.10063927577525349
2023-03-26,85,7409,2530,2340,2539,463929,10989857,2325623490,6158695,4831162,0.5603981016313497,0.43960189836865027,1294638470,1030985020,1481.8000000000002,290774.4,109898.57,952454.2733333333,1354609.0433333335,0.1232599335308306
2023-03-27,86,4234,1398,1421,1415,468163,43405518,2369029008,23672843,19732675,0.5453878698095482,0.4546121301904518,1318311313,1050717695,846.8000000000001,165396.0,434055.18,3761811.56,4362109.54,0.1004966589731748
2023-03-28,87,7926,2593,2640,2693,476089,39498872,2408527880,19874096,19624776,0.5031560394939886,0.49684396050601143,1338185409,1070342471,1585.2,307588.8,394988.72000000003,3423235.5733333332,4127398.293333333,0.10449408006723161
2023-03-29,88,6590,2143,2296,2151,482679,47132910,2455660790,25380489,21752421,0.538487629980835,0.46151237001916495,1363565898,1092094892,1318.0,257601.6,471329.10000000003,4084852.2,4815100.9,0.10216005971199318
2023-03-30,89,4711,1560,1596,1555,487390,25741913,2481402703,14596861,11145052,0.5670464739741758,0.4329535260258241,1378162759,1103239944,942.2,184704.0,257419.13,2230965.7933333335,2674031.1233333335,0.10387849276521653
2023-03-31,90,8356,2790,2886,2680,495746,2177943,2483580646,1250915,927028,0.574356170019142,0.4256438299808581,1379413674,1104166972,1671.2,330504.0,21779.43,188755.06,542709.69,0.24918452411289
2023-04-01,91,1237,428,370,439,496983,23291459,2506872105,12005290,11286169,0.515437439964581,0.484562560035419,1391418964,1115453141,247.4,48350.4,232914.59,2018593.1133333335,2300105.5033333334,0.09875317399967659
2023-04-02,92,2282,730,755,797,499265,11510970,2518383075,6516374,4994596,0.5661012060669084,0.43389879393309166,1397935338,1120447737,456.40000000000003,87391.2,115109.7,997617.4,1200574.7,0.10429830848312523
2023-04-03,93,5140,1724,1710,1706,504405,24709794,2543092869,12882881,11826913,0.5213673978827991,0.478632602117201,1410818219,1132274650,1028.0,202065.6,247097.94,2141515.48,2591707.02,0.10488582057786479
2023-04-04,94,5678,1851,1861,1966,510083,14792768,2557885637,8435598,6357170,0.57025149045804,0.42974850954196,1419253817,1138631820,1135.6000000000001,219141.6,147927.68,1282039.8933333333,1650244.7733333334,0.11155753766525192
2023-04-05,95,2753,893,934,926,512836,25622554,2583508191,13453950,12168604,0.5250823161500606,0.4749176838499394,1432707767,1150800424,550.6,106809.6,256225.54,2220621.3466666667,2584207.086666667,0.1008567329652878
2023-04-06,96,7154,2355,2338,2461,519990,10119341,2593627532,6038567,4080774,0.59673520242079,0.40326479757920997,1438746334,1154881198,1430.8000000000002,277353.6,101193.41,877009.5533333333,1256987.3633333333,0.12421632627394741
2023-04-07,97,1750,610,566,574,521740,27954374,2621581906,14592716,13361658,0.522019058627462,0.477980941372538,1453339050,1168242856,350.0,69806.4,279543.74,2422712.4133333336,2772412.5533333337,0.0991763418967398
2023-04-08,98,9112,3028,3072,3012,530852,17113997,2638695903,9255268,7858729,0.5408010764522163,0.45919892354778374,1462594318,1176101585,1822.4,357523.2,171139.97,1483213.0733333335,2013698.6433333335,0.11766384225341009
2023-04-09,99,5715,1890,1877,1948,536567,39955106,2678651009,20389792,19565314,0.5103175549077507,0.4896824450922493,1482984110,1195666899,1143.0,222352.8,399551.06,3462775.8533333335,4085822.7133333334,0.10226033972562439
2023-04-10,100,6833,2283,2284,2266,543400,35358350,2714009359,17964797,17393553,0.5080779221881112,0.49192207781188885,1500948907,1213060452,1366.6000000000001,268353.6,353583.5,3064390.3333333335,3687694.033333333,0.1042948563304943
2023-04-11,101,6793,2225,2298,2270,550193,43545587,2757554946,23927615,19617972,0.5494842680614226,0.45051573193857736,1524876522,1232678424,1358.6000000000001,264720.0,435455.87,3773950.8733333335,4475485.343333334,0.10277701258989422
2023-04-12,102,9344,3203,3040,3101,559537,33697448,2791252394,19610742,14086706,0.5819651980767209,0.4180348019232792,1544487264,1246765130,1868.8000000000002,369825.6,336974.48,2920445.4933333336,3629114.3733333335,0.10769700937985967
2023-04-13,103,9232,3110,3046,3076,568769,8352969,2799605363,4634355,3718614,0.5548152998053746,0.4451847001946254,1549121619,1250483744,1846.4,363105.6,83529.69,723923.98,1172405.67,0.14035795775130974
2023-04-14,104,2040,668,694,678,570809,29676594,2829281957,17184401,12492193,0.5790557029556693,0.4209442970443306,1566306020,1262975937,408.0,79588.8,296765.94,2571971.48,2948734.2199999997,0.09936228598200993
2023-04-15,105,9711,3315,3289,3107,580520,22814202,2852096159,12103933,10710269,0.5305437814568311,0.4694562185431689,1578409953,1273686206,1942.2,386911.2,228142.02000000002,1977230.84,2594226.2600000002,0.1137110235107062
2023-04-16,106,7069,2386,2304,2379,587589,9263467,2861359626,4688095,4575372,0.5060842770854584,0.4939157229145416,1583098048,1278261578,1413.8000000000002,277574.4,92634.67,802833.8066666666,1174456.6766666668,0.12678370599978028
2023-04-17,107,4393,1503,1460,1430,591982,12410819,2873770445,6835270,5575549,0.5507509214339521,0.4492490785660479,1589933318,1283837127,878.6,174504.0,124108.19,1075604.3133333335,1375095.1033333335,0.1107980950599097
2023-04-18,108,4082,1346,1349,1387,596064,19051142,2892821587,9597887,9453255,0.5037958879315476,0.4962041120684524,1599531205,1293290382,816.4000000000001,158791.2,190511.42,1651098.9733333334,2001217.9933333334,0.10504451614151705
2023-04-19,109,5151,1714,1706,1731,601215,38929852,2931751439,22683956,16245896,0.5826879588445392,0.41731204115546083,1622215161,1309536278,1030.2,201441.6,389298.52,3373920.506666667,3965690.826666667,0.10186760603833447
2023-04-20,110,7368,2502,2428,2438,608583,47652419,2979403858,27256808,20395611,0.5719921164967512,0.4280078835032488,1649471969,1329931889,1473.6000000000001,290956.8,476524.19,4129876.3133333335,4898830.903333333,0.10280340444696696
2023-04-21,111,1053,363,378,312,609636,37427698,3016831556,21487737,15939961,0.5741132409479205,0.42588675905207957,1670959706,1345871850,210.60000000000002,42739.2,374276.98,3243733.8266666667,3660960.6066666665,0.09781420718599007
2023-04-22,112,8990,2967,3047,2976,618626,49424556,3066256112,26055365,23369191,0.5271744879205389,0.47282551207946105,1697015071,1369241041,1798.0,351885.6,494245.56,4283461.5200000005,5131390.680000001,0.10382269655593873
2023-04-23,113,5728,1923,1893,1912,624354,21857628,3088113740,11798346,10059282,0.5397816268078128,0.46021837319218717,1708813417,1379300323,1145.6000000000001,224959.2,218576.28,1894327.76,2339008.84,0.10701110111307593
2023-04-24,114,6894,2278,2286,2330,631248,46725799,3134839539,27360770,19365029,0.585560238359969,0.41443976164003105,1736174187,1398665352,1378.8000000000002,268680.0,467257.99,4049569.2466666666,4786886.036666667,0.10244631743304522
2023-04-25,115,1049,351,333,365,632297,36352038,3171191577,19467029,16885009,0.5355141024005312,0.46448589759946884,1755641216,1415550361,209.8,40764.0,363520.38,3150509.96,3555004.14,0.09779380567328853
2023-04-26,116,3659,1203,1184,1272,635956,35605011,3206796588,18919755,16685256,0.5313789960632227,0.4686210039367773,1774560971,1432235617,731.8000000000001,141451.2,356050.11,3085767.62,3584000.73,0.10066000906445444
2023-04-27,117,1754,625,561,568,637710,3269102,3210065690,1667395,1601707,0.510046795725554,0.489953204274446,1776228366,1433837324,350.8,70648.8,32691.02,283322.17333333334,387012.79333333333,0.11838504682121676
2023-04-28,118,3582,1170,1206,1206,641292,24762774,3234828464,14275087,10487687,0.5764736616341933,0.42352633836580666,1790503453,1444325011,716.4000000000001,139233.6,247627.74,2146107.08,2533684.8200000003,0.10231829519584519
2023-04-29,119,9774,3283,3232,3259,651066,12946819,3247775283,7031362,5915457,0.5430957210415933,0.4569042789584067,1797534815,1450240468,1954.8000000000002,384014.4,129468.19,1122057.6466666667,1637495.0366666666,0.12647856100148358
2023-04-30,120,1728,565,552,611,652794,36656679,3284431962,20736540,15920139,0.5656960904723529,0.4343039095276471,1818271355,1466160607,345.6,66417.6,366566.79,3176912.18,3610242.17,0.09848797732058596
2023-05-01,121,1687,564,552,571,654481,47018671,3331450633,25709454,21309217,0.5467924433678698,0.45320755663213025,1843980809,1487469824,337.40000000000003,65961.6,470186.71,4074951.486666667,4611437.196666667,0.09807672353535189
2023-05-02,122,5568,1891,1828,1849,660049,49408041,3380858674,27522010,21886031,0.5570350380821616,0.4429649619178384,1871502819,1509355855,1113.6000000000001,219710.4,494080.41000000003,4282030.22,4996934.63,0.10113606062624503
2023-05-03,123,3833,1247,1297,1289,663882,22920308,3403778982,12617741,10302567,0.5505048623255848,0.4494951376744152,1884120560,1519658422,766.6,148850.4,229203.08000000002,1986426.6933333334,2365246.7733333334,0.10319437126819297
2023-05-04,124,5203,1698,1724,1781,669085,47304686,3451083668,27067612,20237074,0.5721972660382948,0.4278027339617052,1911188172,1539895496,1040.6000000000001,201417.6,473046.86,4099739.4533333336,4775244.513333334,0.10094654287174284
2023-05-05,125,5039,1672,1648,1719,674124,34245278,3485328946,19704109,14541169,0.5753817796427292,0.42461822035727087,1930892281,1554436665,1007.8000000000001,196214.4,342452.78,2967924.0933333333,3507599.0733333332,0.10242577307543928
2023-05-06,126,7646,2518,2584,2544,681770,31905180,3517234126,17683814,14221366,0.5542615337070658,0.44573846629293423,1948576095,1568658031,1529.2,298742.4,319051.8,2765115.6,3384439.0,0.10607804124596695
